basic_info,skin_type,skin_concerns,lifestyle,analysis,created_at,updated_at
"{""age"": 25, ""gender"": ""female"", ""skin_tone"": ""light""}","Normal","{""Hydration"", ""Anti-aging""}","{""exercise"": ""3x/week"", ""sleep"": ""7hrs"", ""water"": ""8 glasses""}","{""season"": ""Spring"", ""undertone"": ""Warm"", ""recommended_colors"": [""Peach"", ""Coral"", ""Gold""]}","2024-10-01 10:00:00","2024-10-01 10:00:00"
"{""age"": 28, ""gender"": ""female"", ""skin_tone"": ""medium""}","Oily","{""Acne"", ""Pores""}","{""exercise"": ""5x/week"", ""sleep"": ""6hrs"", ""water"": ""6 glasses""}","{""season"": ""Summer"", ""undertone"": ""Cool"", ""recommended_colors"": [""Pink"", ""Blue"", ""Silver""]}","2024-10-02 14:30:00","2024-10-02 14:30:00"
"{""age"": 30, ""gender"": ""male"", ""skin_tone"": ""fair""}","Dry","{""Sensitivity"", ""Redness""}","{""exercise"": ""2x/week"", ""sleep"": ""8hrs"", ""water"": ""10 glasses""}","{""season"": ""Autumn"", ""undertone"": ""Warm"", ""recommended_colors"": [""Orange"", ""Brown"", ""Bronze""]}","2024-10-03 09:15:00","2024-10-03 09:15:00"
"{""age"": 26, ""gender"": ""female"", ""skin_tone"": ""medium""}","Combination","{""Dark spots"", ""Wrinkles""}","{""exercise"": ""4x/week"", ""sleep"": ""7hrs"", ""water"": ""8 glasses""}","{""season"": ""Winter"", ""undertone"": ""Cool"", ""recommended_colors"": [""Purple"", ""Navy"", ""Burgundy""]}","2024-10-04 16:45:00","2024-10-04 16:45:00"








