season,undertone,primary_colors,secondary_colors,accent_colors,best_makeup_shades,avoid_colors
Spring,Warm,"Peach,Coral,Warm Pink","Golden Yellow,Light Orange","Turquoise,Apple Green","Coral blush,Peach lipstick,Gold eyeshadow","Black,Navy,Cool Grey"
Summer,Cool,"Soft Pink,Lavender,Sky Blue","Cool Grey,Powder Blue","Rose,Mint Green","Pink blush,Mauve lipstick,Silver eyeshadow","Orange,Warm Brown,Gold"
Autumn,Warm,"Rust,Terracotta,Olive","Warm Brown,Burnt Orange","Deep Teal,Mustard","Bronze blush,Copper lipstick,Brown eyeshadow","Bright Pink,Cool Blue,Silver"
Winter,Cool,"Burgundy,Navy,True White","Black,Cool Red","Royal Purple,Emerald","Berry blush,Red lipstick,Plum eyeshadow","Orange,Warm Beige,Gold"








